Finished,Duration,RecordedDate,MTurk,Generation,Politics,WritTask1,WritTask2,CSES1,CSES2,CSES3,CSES4,CSES5,CSES6,CSES7,CSES8,SC1,SC2,SC4,SC3,SC5,SC7,SC8,SC10,SC11,NEP1,NEP11,NEP2,NEP4,NEP8,NEP10,NEP12,NEP3,NEP5,NEP9,NEP15,MWB1,MWB2,MWB4,MWB6,charity_DVNF,charity_ACLU,charity_WWF,charity_BGCA,charity_AFA,CCpercent,recall1,recall2,recall3,recall4,recall5,recall6,intent1,intent2,intent3,intent4,intent5,intent6,environmentalism,Age,Gender,Race,Education,SexualOrientation,Politics,Serious,Feedback,Identity,SC_order,NEP_order,MWB_order
TRUE,431,2/24/22 10:44,ANXWWYVFEM9QS,"Generation Z (""Gen-Z"")",,It makes me realize that many in my generation and millenials are immature. So it makes me want to make more mature decisions. Also there is more pressure than ever so I choose to focus on my mental health.,It affects connecting with the older generations because things are so much different now and everything is using technology they don't know how to use. Also it is hard to relate or have conversations of similar interests.,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Strongly agree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,40,40,10,5,5,35,Occassionally,Occassionally,Always,Occassionally,Occassionally,Occassionally,Occassionally,Occassionally,Always,Occassionally,Occassionally,Occassionally,I feel that we are affecting the environment negatively but that a lot of climate change is exaggerated. With that said we do need to protect the environment and stand up for it and help things to be greener. ,25,Male,White,Some college (no degree),Heterosexual,10,Yes,,a Gen-Zer,1,3,2
TRUE,498,2/24/22 10:51,A3DML7IHGVN8XJ,Millennial,,"Being a millennial just means im wore aware of technology. It doesn't really impact my decisions, I don't think. I make decisions of who I am, not what era i'm born in. ",Being a millennial means I have younger relationships. People older than me do judge me more often than not. ,Strongly disagree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Disagree,Strongly agree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,20,20,30,20,10,72,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,I feel that environmentalism is very important in the modern day world. We need to continue to help our earth grow and stay healthy than decay where we can no longer live on it with its beautiful animals. ,30,Male,White,Bachelor's Degree,Heterosexual,7,Yes,,a Millennial,2,1,3
TRUE,562,2/24/22 10:53,A38YLXHJTSE5VD,,Conservative,Being a conservative impacts who I choose to vote for. It also impacts the kinds of schools I choose to send my children to. ,"Being a conservative impacts the man I chose to marry. It also impacts how I interact with others if I know they are not conservative, i.e. what topics we choose to talk to about, etc. ",Disagree,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,10,0,40,25,25,65,Most of the time,Never,Most of the time,Occassionally,Occassionally,Occassionally,Most of the time,Occassionally,Most of the time,Most of the time,Most of the time,Occassionally,I feel as though environmentalism can be a great way to educate people and help people learn how to live more environmentally friendly. But sometimes those in the environmental movement can be too pushy and judgmental which only turns people off. ,33,Female,White,Bachelor's Degree,Heterosexual,9,Yes,,a conservative,2,3,1
TRUE,1205,2/24/22 11:02,A2X3OOYQGXT4F1,,Conservative,I don't know which decisions being a conservative would impact me.  I would think it's the other way around.  The decisions I make mean I'm a conservative.  Examples of these decisions would be who I vote into office and which measures and causes I support.,"I'm not unwilling to be friends with a liberal person. Every person is worthy of dignity and charity.  But how close you become to a person is based on respect, personality, etc. Having the same ideals and perspectives make it easier to become friends.",Disagree,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Disagree,60,0,20,0,20,25,Most of the time,Occassionally,Always,Most of the time,Never,Never,Occassionally,Occassionally,Always,Occassionally,Never,Never,"Environmentalism? Taking care of the property you have is always a great thing. Beyond that, live a normal life. Recycle, if offered.  Enjoy either a Sunday drive or bike ride.  But if you drive a car, take the most expedient way to and from work and for errands.  ",33,Female,White,Bachelor's Degree,Heterosexual,8,Yes,Nope,a conservative,1,2,3
TRUE,461,2/24/22 11:10,A161WSYYO22QZV,"Generation Z (""Gen-Z"")",,"I feel that being a Gen-Zer impacts the decisions I make as I try to plan ahead for the future more since I am one of the current youngest generations. For example, I am already considering saving for retirement and pursuing higher education to secure more meaningful work.","Being a Gen-Zer impacts the types of relationships I have with other people through the consideration of many factors that older generations do not think about. For example, one's gender identity is something that I am careful to properly address through the use of preferred pronouns.",Strongly disagree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,20,0,50,0,30,70,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"I feel that environmentalism is a good step in the right direction to reduce the footprint on the earth. However, a lot of responsibilities are being taken up by individuals where it really should be taken up by companies.",24,Male,White,Bachelor's Degree,Bisexual,7,Yes,,a Gen-Zer,1,2,3
TRUE,356,2/24/22 11:20,APUGU3MD2ZUZ8,,Conservative,"I am not extremely conservative, but I fall more toward the right on most economic and social issues. It is more of an expression of my faith and moral compass than a hard line that I walk.",Very little. I have meaningful relationships with people of all different political beliefs. I have very little time for political lines being drawn.,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Disagree,Somewhat disagree,Strongly agree,Agree,Disagree,60,0,0,0,40,18,Most of the time,Occassionally,Always,Most of the time,Occassionally,Occassionally,Occassionally,Occassionally,Always,Occassionally,Occassionally,Occassionally,I resent the shaming that takes place. I think the topic is more nuanced than either side of the polarity is willing to admit.,38,Male,White,Master's Degree,Heterosexual,6,Yes,,a conservative,3,2,1
TRUE,564,2/24/22 11:21,A2CUBS3N991KOJ,,Conservative,"I always attempt to purchase products made in America whenever possible, although it's difficult to find a lot. I do not support radical groups and I always vote for conservative candidates because I believe, up until the past year anyway, the way we have things in this country work well and should not be changed much.","I usually spend time with conservative people. We have the same ideas and beliefs, and more things in common, so it's more natural. I do not spend much time with liberal people, and when I do, I never bring up politics.",Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,67,7,1,20,5,15,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,"I think environmentalism is overrated. There is no such thing as global warming, the earth goes through cycles of climate change and it is normal. People are wasting their time purchasing doing activities and downgrading their everyday lives through environmentalism. ",38,Male,White,Associate's Degree,Heterosexual,10,Yes,Nice survey.,a conservative,2,1,3
TRUE,389,2/24/22 11:34,A3STYPRAMUU88P,,Conservative,I make decisions to protect my family. We have guns in the house in case we need protection before police can arrive. We also have moved away from the city to get away from crimes and violence. ,Being a conservative does not impact my relationships. I am still nice and friendly to everyone no matter their beliefs I have friends of all political spectrums.,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,50,0,50,0,0,50,Most of the time,Most of the time,Most of the time,Always,Always,Always,Most of the time,Most of the time,Always,Always,Always,Always,"I think it is important to protect our environment. After all, the environment gives us the food and water we need to survive. Without the environment, literally nothing we have as possessions would be able to be made. We should take more care of it. ",29,Female,White,Associate's Degree,Heterosexual,8,Yes,no,a conservative,3,2,1
TRUE,1637,2/24/22 11:39,A3IFGWZXI17R3D,,Conservative,"My decisions as a conservative person are typically opposite of the typical democrat. I believe that the government is too large and needs to be drastically reduced. I believe people who are on the lower end of the economic spectrum are there for a reason, typically they are lazy or make poor decisions. I also believe taxes are far too high and are being wasted by the government.",These days everything seems to revolve around your political affiliation and beliefs. It causes typical democrats to not like me for no reason other than what I believe in. ,Disagree,Strongly agree,Strongly agree,Agree,Somewhat disagree,Agree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Somewhat disagree,Strongly agree,Agree,Strongly disagree,41,0,9,41,9,15,Occassionally,Never,Most of the time,Never,Occassionally,Occassionally,Occassionally,Never,Most of the time,Occassionally,Occassionally,Occassionally,I believe everyone should do their part to reduce the trash in the world. I am a fisherman and the rivers are clogged with nasty trash from people who don't care about the habitat. I do not believe that humans play such a big role in climate change as people make it out. ,30,Male,White,Some college (no degree),Heterosexual,9,Yes,Nothing to share,a conservative,1,2,3
TRUE,833,2/24/22 11:41,A18MWAN4YV5BKN,"Generation X (""Gen-X"")",,I'm not sure that it does affect my decision. The generation I grew up was different then the modern technology generation so maybe in that way it impacts it because I wasn't glued to a phone.,I believe I had better relationships because we communicated better,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,25,18,20,15,22,60,Most of the time,Occassionally,Always,Occassionally,Most of the time,Occassionally,Most of the time,Occassionally,Always,Occassionally,Occassionally,Most of the time,I feel it is important. Not many people take it seriously. It is hard in the way we live to cut back becasue this is the way we have lived for so long.,35,Female,White,Some college (no degree),Heterosexual,8,Yes,no everything was clear,a Gen-Xer,1,3,2
TRUE,1292,2/24/22 11:50,A1G5EPLJEGL381,Millennial,,"I think 99% of being a Millennial is learning from the mistakes of people around you. You can't go with the herd if you want to be successful in life. It's being willing to reach towards the Baby Boomer generation's values, and say that the majority of people your age are showing you what not to do.","I think Millennials see me as out of touch with their version of reality. I'm ok with this, however, as my faith says I don't want to embody the values that they consider normal. What people consider normal is not always what was normal for thousands of years in history.",Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,50,0,50,0,0,95,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"I think as a person, I try to practice practical environmentalism as much as possible. I've long been trying to prove that people are ignoring the reuse, reduce and only valuing the recycle side of things. I think common sense has gone out the window, with people wanting specially made ""unpaper"" towels. I'm with the older generation, which goes ""Um, it's called using a cloth or old rag.""",31,Female,Black/African-American,Bachelor's Degree,Heterosexual,10,Yes,,a Millennial,3,2,1
TRUE,453,2/24/22 11:58,A1HMGPUALNY8XO,Millennial,,"We think about our future, but we have also been raised by the psst. We have the best fashion. We are trying to raise families.",People assume millennials are entitled but we have a lot of work to do. We have to prove ourselves to boomers.,Strongly disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,22,18,33,20,7,70,Most of the time,Occassionally,Always,Most of the time,Most of the time,Most of the time,Most of the time,Occassionally,Always,Most of the time,Most of the time,Most of the time,It is important to be responsible and do our part. I do not give up driving but I am responsible with my shopping and other actions.,31,Female,Asian/Asian-American,"Professional Degree (e.g., J.D., M.D.)",Heterosexual,7,Yes,,a Millennial,3,1,2
TRUE,645,2/24/22 12:06,A14X5GL2PFGBW2,Millennial,,"Being a millennial doesn't impact my decisions all that much. The only slight example I can think of is that I am a sucker for nostalgia, 90's pop culture is still special to me. ",I usually tend to associate with other millennials due to similar upbringings. Most people from Gen Z are still to young and are on a different maturity level from me. On the other hand gen X and baby boomers are a little too old for me.,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,20,0,30,40,10,80,Always,Never,Always,Most of the time,Occassionally,Most of the time,Always,Never,Always,Always,Most of the time,Most of the time,I think environmentalism has gotten a bad rap because of the extremists. I support the environment to an extent but I still have a life to live and a family to support. I will be green as possible unless it discomforts my family.,31,Male,White,Bachelor's Degree,Heterosexual,7,Yes,no,a Millennial,1,3,2
TRUE,423,2/24/22 12:14,A2LUL0QE90HUU5,,Conservative,"With being a conservative I tend to make decisions that are more family and religion based. My family, religion, and faith are the center of everything that I d. Every decision has some correlation back to my faith. ","Being a conservative impacts my relationships with other people as my family will always come first. I have friends and enjoy times with them but if my family need me, I am there first. I am a mother and a wife first and foremost. ",Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Disagree,Disagree,Disagree,Strongly disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Disagree,Somewhat disagree,Neither agree nor disagree,30,5,20,30,15,80,Always,Occassionally,Always,Always,Most of the time,Most of the time,Most of the time,Occassionally,Always,Always,Most of the time,Most of the time,I feel that it is very important and necessary for out future and the world we live in. I think it is important that more people are aware of environmentalism and also what their role is in helping make a positive impact on the environement and to stop the negative. ,28,Female,White,Master's Degree,Heterosexual,8,Yes,Nothing to add at this time. ,a conservative,2,1,3
TRUE,251,2/24/22 12:22,ATIVK9XUANIUE,,Conservative,Being a conservative impacts my decisions by making me act with morals. I do what i believe the bible teaches is right. I also try to live responsibly being a conservative and depend on myself.,Being a conservative impacts my relationships by making me associate with likeminded people. It makes me steer clear of anyone without conservative values. ,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,100,0,0,0,0,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I think environmentalism is a waste of time. I think people should focus on enjoying their life and not worry about things they cannot control.,36,Male,White,Bachelor's Degree,Heterosexual,10,Yes,,a conservative,3,2,1
TRUE,869,2/24/22 12:25,A31USOVE4ZIOCE,"Generation Z (""Gen-Z"")",,"It feels like a new frontier. Older generations give advice on things I have to do like for school or jobs but the landscape is so different socially and technologically, barely any of their advice applies.",I feel much more current with what is happening in society and the world. People will tell me about stuff in the news or new fads and I will already have known about them for a while.,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,50,0,15,0,35,5,Never,Never,Always,Occassionally,Occassionally,Occassionally,Never,Never,Always,Occassionally,Occassionally,Occassionally,I feel that it is good to have on a local level. My problem is when it is done on a mass scale as then it tends to just mean taxes need to be higher.,22,Male,White,Some college (no degree),Heterosexual,10,Yes,,a Gen-Zer,3,1,2
TRUE,905,2/24/22 12:29,A20CF56C34F0K2,,Liberal,"Being liberal aids my decisions on a number of political matters like for instance, how to approach the question of LGBTQ rights.",Being liberal distinguishes what type of relations i have with certain people i deal with.,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree,8,41,42,0,9,100,Occassionally,Occassionally,Most of the time,Always,No answer,Occassionally,Occassionally,Occassionally,Always,Occassionally,No answer,Occassionally,I think the focus on environmentalism will have little effect on the change we hope to see because it doesn't effect the cause but limits the effect. inclosing the effect still persists.,31,Male,Black/African-American,Some college (no degree),Heterosexual,2,Yes,no,a liberal,2,3,1
TRUE,402,2/24/22 12:44,A3W2DT4YO6AO5R,"Generation Z (""Gen-Z"")",,I do not believe it impacts my decisions. I do not think about how my generation dictates what I choose to do.,"I think that others may perceive me in a particular manner, but I do not think it creates an automatic bias towards me. I think people judge me based on my characteristics that I present to them",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,50,0,20,0,30,84,Most of the time,Occassionally,Most of the time,Occassionally,Occassionally,Occassionally,Most of the time,Occassionally,Always,Most of the time,Most of the time,Occassionally,I think it is great that some are very concerned about protecting the environment. There needs to be people who identify with this group because not everyone is willing to do this,20,Male,Asian/Asian-American,Some college (no degree),Heterosexual,8,Yes,no,a Gen-Zer,1,2,3
TRUE,247,2/24/22 12:48,A1IXWWGMZUVSGO,,Conservative,"As a conservative, I try to think the most logically. I put forth the wellbeing of everyone when making decisions.",Being conservative does not affect my relationships. I keep politics and family/friendship separate.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0,0,0,0,100,46,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"I feel very strongly. I love the movement, and believe we must reserve our resources until we get to Mars.",24,Male,White,Some college (no degree),Heterosexual,10,Yes,"No, all good thanks",a conservative,1,3,2
TRUE,371,2/24/22 12:54,A2CB2GJZ8ARJ31,,Conservative,"I am open to all ideas and concepts. I will take the information, gather it, and make an educated non-biases decision.","It doesn’t really impact my relationships. If anything, people are more accepting and will discuss different issues with me.",Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,15,20,20,34,11,48,Always,Always,Most of the time,Always,Always,Always,Always,Always,Always,Most of the time,Always,Most of the time,It’s important to take care and clean up the environment. If changes aren’t made it could alter our living environment.,38,Male,White,Doctorate (Ph.D.),Heterosexual,10,Yes,,a conservative,2,1,3
TRUE,961,2/24/22 12:55,A2SYRGFCT7Y8KR,,Conservative,"Difficult question, I am probably more concerned with tradition and take a long-view look in decision making compared to a liberal. Also maybe more family oriented. I have a feeling liberals are more trend based (whatever is being hyped in the media at the moment) and concerned with personal status.  ","Again, more family oriented. Traditional relationship structures. Also perhaps more sympathetic towards working and middle class people (middle Americans) who liberals would probably look down upon.",Somewhat disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Disagree,Agree,Neither agree nor disagree,20,0,20,20,40,75,Most of the time,Never,Most of the time,Occassionally,Occassionally,Occassionally,Most of the time,No answer,Most of the time,Occassionally,Occassionally,Occassionally,"I am in favor of doing what we can to protect and repair the natural environment, especially through waste reduction, efficiency, smart urban development, creation of parks and preserves etc. The word 'environmentalism' doesn't appeal to me much. Has become too political of a term to me. ",34,Male,White,Master's Degree,Heterosexual,10,Yes,,a conservative,1,2,3
TRUE,320,2/24/22 12:58,AIJPLVW0ULYTH,"Generation X (""Gen-X"")",,I think that it shaped my life and taught me how to be responsible and work hard for the things that I want. I believe that anyone can accomplish anything if they try hard enough.,I have great relationships because I have trust for others. I feel like I can be a positive influence on anyone that I am around. ,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,36,4,11,20,29,27,Most of the time,Occassionally,Most of the time,Occassionally,Occassionally,Most of the time,Most of the time,Occassionally,Always,Most of the time,Occassionally,Always,I agree with doing my part to protect the environment. I do not litter. I do not live anywhere near a recycling center so that's difficult for me to do that. ,38,Female,White,Associate's Degree,Heterosexual,10,Yes,no,a Gen-Xer,1,2,3
TRUE,683,2/24/22 13:09,A1DCUO2NY4XQA4,,Conservative,i don't think being conservative is something that impact most of my decisions. When it does it usually affects who I vote for.,I don't think it impacts some of my relationships. It may have impacted one of my former friendships to where we are no longer friends.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Disagree,Somewhat agree,5,80,5,5,5,55,Most of the time,No answer,Occassionally,Occassionally,Occassionally,Most of the time,Most of the time,No answer,Most of the time,Most of the time,Most of the time,Most of the time,I think that environmentalism is important and society should take more care of the world around them. I feel that helping the environment can be done gradually even if it's a little at a time.,22,Female,Black/African-American,Associate's Degree,Bisexual,6,Yes,,a conservative,1,2,3
TRUE,1037,2/24/22 13:23,A3DQ80OTKUEZFY,Millennial,,Being a millennial regarding my decision making makes me makes decisions on a whim. I don’t always think about the future verse right now when making decisions.,Being a millennial makes my relationships with older people have done friction. I feel that I am more knowledgeable in some areas than the older generation but I also still want to remain respectful no matter what I know.,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,0,60,0,40,0,100,Occassionally,Never,Occassionally,Never,Never,Occassionally,Never,Never,Occassionally,Never,Never,Never,"I feel that we can try to do what we can do our part to not intentionally litter, emit gas and chemicals on purpose. I also believe that the world is inevitably going get damaged no matter what at the end of the day.",31,Female,Black/African-American,Some college (no degree),Heterosexual,10,Yes,No,a Millennial,3,2,1
